case_id,title,status,duration_ms,target_version,rule_id,expected,actual,error
GIP-DDL-CT-006,GIP-DDL-CT-006,PASS,3,8.0.39,GIP-DDL-CT-006,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-DDL-CT-006']",
GIP-DDL-CT-007,GIP-DDL-CT-007,PASS,4,8.0.39,GIP-DDL-CT-007,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-DDL-CT-007']",
GIP-DDL-CT-008,GIP-DDL-CT-008,PASS,3,8.0.39,GIP-DDL-CT-008,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-DDL-CT-008']",
GIP-DDL-CT-009,GIP-DDL-CT-009,PASS,2,8.0.39,GIP-DDL-CT-009,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-DDL-CT-009']",
GIP-DDL-CT-010,GIP-DDL-CT-010,PASS,3,8.0.39,GIP-DDL-CT-010,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-DDL-CT-010']",
GIP-DDL-CT-011,GIP-DDL-CT-011,PASS,3,8.0.39,GIP-DDL-CT-011,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-DDL-CT-011']",
GIP-DDL-CT-012,GIP-DDL-CT-012,PASS,3,8.0.39,GIP-DDL-CT-012,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-DDL-CT-012']",
GIP-DDL-CT-013,GIP-DDL-CT-013,PASS,3,8.0.39,GIP-DDL-CT-013,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-DDL-CT-013']",
GIP-DDL-CT-014,GIP-DDL-CT-014,PASS,3,8.0.39,GIP-DDL-CT-014,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-DDL-CT-014']",
GIP-DDL-CT-015,GIP-DDL-CT-015,PASS,3,8.0.39,GIP-DDL-CT-015,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-DDL-CT-015']",
GIP-DDL-CT-016,GIP-DDL-CT-016,PASS,4,8.0.39,GIP-DDL-CT-016,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-DDL-CT-016']",
GIP-DDL-CT-017,GIP-DDL-CT-017,PASS,3,8.0.39,GIP-DDL-CT-017,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-DDL-CT-017']",
GIP-DDL-CT-018,GIP-DDL-CT-018,PASS,3,8.0.39,GIP-DDL-CT-018,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-DDL-CT-018']",
GIP-DDL-CT-019,GIP-DDL-CT-019,PASS,3,8.0.39,GIP-DDL-CT-019,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-DDL-CT-019']",
GIP-DDL-CT-020,GIP-DDL-CT-020,PASS,4,8.0.39,GIP-DDL-CT-020,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-DDL-CT-020']",
GIP-DDL-CT-021,GIP-DDL-CT-021,PASS,3,8.0.39,GIP-DDL-CT-021,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-DDL-CT-021']",
GIP-DDL-CT-022,GIP-DDL-CT-022,PASS,3,8.0.39,GIP-DDL-CT-022,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-DDL-CT-022']",
GIP-DDL-CT-023,GIP-DDL-CT-023,PASS,2,8.0.39,GIP-DDL-CT-023,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-DDL-CT-023']",
GIP-DDL-CT-024,GIP-DDL-CT-024,PASS,2,8.0.39,GIP-DDL-CT-024,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-DDL-CT-024']",
GIP-DDL-CT-025,GIP-DDL-CT-025,PASS,4,8.0.39,GIP-DDL-CT-025,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-DDL-CT-025']",
GIP-DDL-CT-026,GIP-DDL-CT-026,PASS,3,8.0.39,GIP-DDL-CT-026,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-DDL-CT-026']",
GIP-DDL-CT-027,GIP-DDL-CT-027,PASS,3,8.0.39,GIP-DDL-CT-027,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-DDL-CT-027']",
GIP-DDL-CT-028,GIP-DDL-CT-028,PASS,3,8.0.39,GIP-DDL-CT-028,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-DDL-CT-028']",
GIP-DDL-CT-029,GIP-DDL-CT-029,PASS,3,8.0.39,GIP-DDL-CT-029,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-DDL-CT-029']",
GIP-DDL-CT-030,GIP-DDL-CT-030,PASS,6,8.0.39,GIP-DDL-CT-030,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-DDL-CT-030']",
GIP-DDL-CT-031,GIP-DDL-CT-031,PASS,5,8.0.39,GIP-DDL-CT-031,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-DDL-CT-031']",
GIP-DDL-CT-032,GIP-DDL-CT-032,PASS,3,8.0.39,GIP-DDL-CT-032,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-DDL-CT-032']",
GIP-DDL-CT-033,GIP-DDL-CT-033,PASS,4,8.0.39,GIP-DDL-CT-033,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-DDL-CT-033']",
GIP-DDL-CT-034,GIP-DDL-CT-034,PASS,2,8.0.39,GIP-DDL-CT-034,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-DDL-CT-034']",
GIP-DDL-CT-035,GIP-DDL-CT-035,PASS,2,8.0.39,GIP-DDL-CT-035,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-DDL-CT-035']",
GIP-DDL-CT-036,GIP-DDL-CT-036,PASS,3,8.0.39,GIP-DDL-CT-036,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-DDL-CT-036']",
GIP-DDL-CT-037,GIP-DDL-CT-037,PASS,4,8.0.39,GIP-DDL-CT-037,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-DDL-CT-037']",
GIP-DDL-AT-001,GIP-DDL-AT-001,PASS,4,8.0.39,GIP-DDL-AT-001,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED', 'CHECKED'], rows=2; observed_rules=['GIP-DDL-AT-001']",
GIP-DDL-AT-002,GIP-DDL-AT-002,PASS,5,8.0.39,GIP-DDL-AT-002,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-DDL-AT-002']",
GIP-DDL-AT-003,GIP-DDL-AT-003,PASS,6,8.0.39,GIP-DDL-AT-003,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-DDL-AT-003']",
GIP-DDL-AT-004,GIP-DDL-AT-004,PASS,5,8.0.39,GIP-DDL-AT-004,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-DDL-AT-004']",
GIP-DDL-SF-001,GIP-DDL-SF-001,PASS,2,8.0.39,GIP-DDL-SF-001,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-DDL-SF-001']",
GIP-DDL-SF-002,GIP-DDL-SF-002,PASS,7,8.0.39,GIP-DDL-SF-002,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-DDL-SF-002']",
GIP-DDL-SF-003,GIP-DDL-SF-003,PASS,4,8.0.39,GIP-DDL-SF-003,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-DDL-SF-003']",
GIP-DDL-SF-004,GIP-DDL-SF-004,PASS,3,8.0.39,GIP-DDL-SF-004,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-DDL-SF-004']",
GIP-DDL-SF-005,GIP-DDL-SF-005,PASS,3,8.0.39,GIP-DDL-SF-005,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-DDL-SF-005']",
GIP-DDL-SF-006,GIP-DDL-SF-006,PASS,3,8.0.39,GIP-DDL-SF-006,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-DDL-SF-006']",
GIP-DDL-SF-007,GIP-DDL-SF-007,PASS,2,8.0.39,GIP-DDL-SF-007,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-DDL-SF-007']",
GIP-DDL-SF-008,GIP-DDL-SF-008,PASS,4,8.0.39,GIP-DDL-SF-008,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-DDL-SF-008']",
GIP-DDL-SF-009,GIP-DDL-SF-009,PASS,2,8.0.39,GIP-DDL-SF-009,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-DDL-SF-009']",
GIP-DML-MD-001,GIP-DML-MD-001,PASS,7,8.0.39,GIP-DML-MD-001,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-DML-MD-001']",
GIP-DML-SF-001,GIP-DML-SF-001,PASS,4,8.0.39,GIP-DML-SF-001,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-DML-SF-001']",
GIP-DML-SF-002,GIP-DML-SF-002,PASS,6,8.0.39,GIP-DML-SF-002,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-DML-SF-002']",
GIP-DML-SF-003,GIP-DML-SF-003,PASS,5,8.0.39,GIP-DML-SF-003,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-DML-SF-003']",
GIP-DML-SF-004,GIP-DML-SF-004,PASS,6,8.0.39,GIP-DML-SF-004,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-DML-SF-004']",
GIP-DML-SF-005,GIP-DML-SF-005,PASS,9,8.0.39,GIP-DML-SF-005,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-DML-SF-005']",
GIP-DML-SF-006,GIP-DML-SF-006,PASS,5,8.0.39,GIP-DML-SF-006,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-DML-SF-006']",
GIP-DML-SF-007,GIP-DML-SF-007,PASS,6,8.0.39,GIP-DML-SF-007,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-DML-SF-007']",
GIP-DML-SF-008,GIP-DML-SF-008,PASS,8,8.0.39,GIP-DML-SF-008,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-DML-SF-008']",
GIP-DML-SF-009,GIP-DML-SF-009,PASS,6,8.0.39,GIP-DML-SF-009,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-DML-SF-009']",
GIP-DML-SF-010,GIP-DML-SF-010,PASS,8,8.0.39,GIP-DML-SF-010,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-DML-SF-010']",
GIP-DML-IM-001,GIP-DML-IM-001,MANUAL,0,8.0.39,GIP-DML-IM-001,manual verification,Requires EXPLAIN permission/failure injection,
GIP-DML-IM-002,GIP-DML-IM-002,PASS,5,8.0.39,GIP-DML-IM-002,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-DML-IM-002']",
GIP-DML-IM-003,GIP-DML-IM-003,PASS,7,8.0.39,GIP-DML-IM-003,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-DML-IM-003']",
GIP-EXE-RN-001,GIP-EXE-RN-001,MANUAL,0,8.0.39,GIP-EXE-RN-001,manual verification,Requires execute-mode duplicate key/lock/deadlock scenario,
GIP-BAK-BL-001,GIP-BAK-BL-001,MANUAL,0,8.0.39,GIP-BAK-BL-001,manual verification,Requires changing ROW Binlog prerequisites or replication permissions,
GIP-BAK-RN-001,GIP-BAK-RN-001,MANUAL,0,8.0.39,GIP-BAK-RN-001,manual verification,Requires backup store/binlog capture fault injection,
