case_id,title,status,duration_ms,target_version,rule_id,expected,actual,error
P2-003,不写--db且不执行USE，审核ALTER TABLE users...,PASS,5,8.0.39,,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1",
P2-004,USE missing_db,PASS,3,8.0.39,,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1",
P2-005,CREATE→ALTER→INSERT同批次,PASS,5,8.0.39,,"level=0, stage=CHECKED","max_level=0, stages=['CHECKED', 'CHECKED', 'CHECKED'], rows=3",
P2-006,RENAME TABLE→UPDATE新表名,PASS,6,8.0.39,,"level=0, stage=CHECKED","max_level=0, stages=['CHECKED', 'CHECKED', 'CHECKED'], rows=3",
P2-007,DROP TABLE→后续SELECT该表,PASS,5,8.0.39,,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED', 'CHECKED', 'CHECKED'], rows=3",
P2-008,单条ALTER含ADD、MODIFY、CHANGE、DROP、ADD INDEX,PASS,5,8.0.39,,"level=0, stage=CHECKED","max_level=0, stages=['CHECKED', 'CHECKED', 'CHECKED'], rows=3",
P2-009,CREATE TABLE LIKE users,PASS,11,8.0.39,,"level=0, stage=CHECKED","max_level=0, stages=['CHECKED'], rows=1",
P2-010,CREATE TABLE AS SELECT,MANUAL,0,8.0.39,,manual verification,"Requires controlled fault injection, a second connection/process, Archery UI/API, observability endpoint, Docker, or capacity measurements; follow PHASE_1_7_CASES.md",
P2-011,CREATE/DROP INDEX、RENAME INDEX,PASS,6,8.0.39,,"level=0, stage=CHECKED","max_level=0, stages=['CHECKED', 'CHECKED', 'CHECKED'], rows=3",
P2-012,SHOW CREATE VIEW元数据加载,MANUAL,0,8.0.39,,manual verification,"Requires controlled fault injection, a second connection/process, Archery UI/API, observability endpoint, Docker, or capacity measurements; follow PHASE_1_7_CASES.md",
P2-013,大小写表名，分别在lower_case_table_names实际模式测试,MANUAL,0,8.0.39,,manual verification,"Requires controlled fault injection, a second connection/process, Archery UI/API, observability endpoint, Docker, or capacity measurements; follow PHASE_1_7_CASES.md",
P2-014,读取元数据时断网/撤权后恢复,MANUAL,0,8.0.39,,manual verification,"Requires controlled fault injection, a second connection/process, Archery UI/API, observability endpoint, Docker, or capacity measurements; follow PHASE_1_7_CASES.md",
P3-001,显式字段INSERT,PASS,9,8.0.39,,"level=0, stage=CHECKED","max_level=0, stages=['CHECKED'], rows=1",
P3-002,INSERT不写字段列表，启用对应规则,PASS,10,8.0.39,GIP-DML-SF-007,"level=1, stage=CHECKED","max_level=1, stages=['CHECKED'], rows=1",
P3-003,INSERT VALUES行数超过max_insert_rows,PASS,9,8.0.39,GIP-DML-IM-003,"level=1, stage=CHECKED","max_level=1, stages=['CHECKED'], rows=1",
P3-004,UPDATE/DELETE没有WHERE,PASS,15,8.0.39,GIP-DML-SF-001,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED', 'CHECKED'], rows=2",
P3-005,UPDATE/DELETE含LIMIT、ORDER BY,PASS,9,8.0.39,,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1",
P3-006,JOIN缺ON,PASS,13,8.0.39,GIP-DML-SF-005,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1",
P3-007,SELECT *禁用,PASS,9,8.0.39,GIP-DML-SF-006,"level=1, stage=CHECKED","max_level=1, stages=['CHECKED'], rows=1",
P3-008,ORDER BY RAND(),PASS,10,8.0.39,GIP-DML-SF-008,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1",
P3-009,数字列与字符串、字符列与数字比较,PASS,11,8.0.39,GIP-DML-SF-010,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1",
P3-010,表或字段不存在,PASS,8,8.0.39,GIP-DML-MD-001,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1",
P3-011,max_update_rows设为1，更新预计2行,PASS,10,8.0.39,GIP-DML-IM-002,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1",
P3-012,EXPLAIN权限不足或失败,MANUAL,0,8.0.39,,manual verification,"Requires controlled fault injection, a second connection/process, Archery UI/API, observability endpoint, Docker, or capacity measurements; follow PHASE_1_7_CASES.md",
P3-013,explain_rule分别为first/max,MANUAL,0,8.0.39,,manual verification,"Requires controlled fault injection, a second connection/process, Archery UI/API, observability endpoint, Docker, or capacity measurements; follow PHASE_1_7_CASES.md",
P3-014,多表UPDATE两张表,PASS,15,8.0.39,,"level=0, stage=CHECKED","max_level=0, stages=['CHECKED'], rows=1",
P3-015,多表DELETE删除两个别名,PASS,14,8.0.39,,"level=0, stage=CHECKED","max_level=0, stages=['CHECKED'], rows=1",
P3-016,INSERT SELECT和ON DUPLICATE KEY UPDATE,MANUAL,0,8.0.39,,manual verification,"Requires controlled fault injection, a second connection/process, Archery UI/API, observability endpoint, Docker, or capacity measurements; follow PHASE_1_7_CASES.md",
P3-017,CTE SELECT/UPDATE/DELETE,SKIP,0,8.0.39,,"level=2, stage=CHECKED",not applicable to MySQL major 8,
P4-001,execute=1，三条合法DML,PASS,17,8.0.39,,"level=0, stage=EXECUTED","max_level=0, stages=['EXECUTED', 'EXECUTED', 'EXECUTED'], rows=3",
P4-002,第二条为Error级审核问题,PASS,8,8.0.39,,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED', 'CHECKED'], rows=2; verify=0, want=0",
P4-003,第一条执行时主键冲突，第二条合法INSERT,PASS,11,8.0.39,,"level=2, stage=EXECUTED","max_level=2, stages=['EXECUTED', 'CHECKED'], rows=2; verify=0, want=0",
P4-004,UPDATE后DDL失败,MANUAL,0,8.0.39,,manual verification,"Requires controlled fault injection, a second connection/process, Archery UI/API, observability endpoint, Docker, or capacity measurements; follow PHASE_1_7_CASES.md",
P4-005,设置短lock_wait_timeout并制造锁等待,MANUAL,0,8.0.39,,manual verification,"Requires controlled fault injection, a second connection/process, Archery UI/API, observability endpoint, Docker, or capacity measurements; follow PHASE_1_7_CASES.md",
P4-006,两连接制造死锁,MANUAL,0,8.0.39,,manual verification,"Requires controlled fault injection, a second connection/process, Archery UI/API, observability endpoint, Docker, or capacity measurements; follow PHASE_1_7_CASES.md",
P4-007,执行中KILL QUERY connection_id,MANUAL,0,8.0.39,,manual verification,"Requires controlled fault injection, a second connection/process, Archery UI/API, observability endpoint, Docker, or capacity measurements; follow PHASE_1_7_CASES.md",
P4-008,执行中KILL CONNECTION connection_id,MANUAL,0,8.0.39,,manual verification,"Requires controlled fault injection, a second connection/process, Archery UI/API, observability endpoint, Docker, or capacity measurements; follow PHASE_1_7_CASES.md",
P4-009,audit_only=true收到execute=1,MANUAL,0,8.0.39,,manual verification,Requires an isolated service started with audit_only=true,
P4-010,OSC/gh-ost配置请求,MANUAL,0,8.0.39,,manual verification,"Requires controlled fault injection, a second connection/process, Archery UI/API, observability endpoint, Docker, or capacity measurements; follow PHASE_1_7_CASES.md",
P5-001,log_bin/ROW/FULL任一不满足,MANUAL,0,8.0.39,,manual verification,"Requires controlled fault injection, a second connection/process, Archery UI/API, observability endpoint, Docker, or capacity measurements; follow PHASE_1_7_CASES.md",
P5-002,INSERT一行,PASS,50,8.0.39,,"level=0, stage=BACKUP","max_level=0, stages=['BACKUP'], rows=1",
P5-003,UPDATE一行,PASS,42,8.0.39,,"level=0, stage=BACKUP","max_level=0, stages=['BACKUP'], rows=1",
P5-004,DELETE一行,PASS,39,8.0.39,,"level=0, stage=BACKUP","max_level=0, stages=['BACKUP'], rows=1",
P5-005,一条UPDATE影响多行,MANUAL,0,8.0.39,,manual verification,"Requires controlled fault injection, a second connection/process, Archery UI/API, observability endpoint, Docker, or capacity measurements; follow PHASE_1_7_CASES.md",
P5-006,no_key表UPDATE/DELETE,PASS,12,8.0.39,GIP-DML-SF-002,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1",
P5-007,NULL/VARBINARY/DECIMAL/JSON/DATETIME(6)更新,PASS,42,8.0.39,,"level=0, stage=BACKUP","max_level=0, stages=['BACKUP'], rows=1",
P5-008,JSON含引号、反斜杠、数组、Unicode,MANUAL,0,8.0.39,,manual verification,"Requires controlled fault injection, a second connection/process, Archery UI/API, observability endpoint, Docker, or capacity measurements; follow PHASE_1_7_CASES.md",
P5-009,多表UPDATE两张表,PASS,54,8.0.39,,"level=0, stage=BACKUP","max_level=0, stages=['BACKUP'], rows=1",
P5-010,多表DELETE两个目标表,MANUAL,0,8.0.39,,manual verification,"Requires controlled fault injection, a second connection/process, Archery UI/API, observability endpoint, Docker, or capacity measurements; follow PHASE_1_7_CASES.md",
P5-011,同期其他连接写相同表,MANUAL,0,8.0.39,,manual verification,"Requires controlled fault injection, a second connection/process, Archery UI/API, observability endpoint, Docker, or capacity measurements; follow PHASE_1_7_CASES.md",
P5-012,目标执行成功但备份库写入失败,MANUAL,0,8.0.39,,manual verification,"Requires controlled fault injection, a second connection/process, Archery UI/API, observability endpoint, Docker, or capacity measurements; follow PHASE_1_7_CASES.md",
P5-013,CREATE TABLE、ALTER TABLE,MANUAL,0,8.0.39,,manual verification,"Requires controlled fault injection, a second connection/process, Archery UI/API, observability endpoint, Docker, or capacity measurements; follow PHASE_1_7_CASES.md",
P5-014,DROP/TRUNCATE等不能无损回滚DDL,MANUAL,0,8.0.39,,manual verification,"Requires controlled fault injection, a second connection/process, Archery UI/API, observability endpoint, Docker, or capacity measurements; follow PHASE_1_7_CASES.md",
P5-015,服务捕获期间中断/重启,MANUAL,0,8.0.39,,manual verification,"Requires controlled fault injection, a second connection/process, Archery UI/API, observability endpoint, Docker, or capacity measurements; follow PHASE_1_7_CASES.md",
P6-001,正确账号密码登录4000,MANUAL,0,8.0.39,,manual verification,"Requires controlled fault injection, a second connection/process, Archery UI/API, observability endpoint, Docker, or capacity measurements; follow PHASE_1_7_CASES.md",
P6-002,错账号/密码,MANUAL,0,8.0.39,,manual verification,"Requires controlled fault injection, a second connection/process, Archery UI/API, observability endpoint, Docker, or capacity measurements; follow PHASE_1_7_CASES.md",
P6-003,SET NAMES utf8mb4、SET autocommit=1,MANUAL,0,8.0.39,,manual verification,"Requires controlled fault injection, a second connection/process, Archery UI/API, observability endpoint, Docker, or capacity measurements; follow PHASE_1_7_CASES.md",
P6-004,SELECT VERSION(),PASS,1,8.0.39,,"level=0, stage=CHECKED","columns=['VERSION()'], rows=1",
P6-005,SHOW DATABASES及LIKE,PASS,0,8.0.39,,"level=0, stage=CHECKED","columns=['Database'], rows=1",
P6-006,SHOW TABLES/TABLE STATUS,PASS,0,8.0.39,,"level=0, stage=CHECKED","columns=['Tables_in_information_schema'], rows=0",
P6-007,SHOW COLUMNS不存在对象,PASS,0,8.0.39,,protocol error 1146,"protocol_error=1146, message=(1146, ""Table 'information_schema.missing_table' doesn't exist"")","(1146, ""Table 'information_schema.missing_table' doesn't exist"")"
P6-008,SHOW WARNINGS,MANUAL,0,8.0.39,,manual verification,"Requires controlled fault injection, a second connection/process, Archery UI/API, observability endpoint, Docker, or capacity measurements; follow PHASE_1_7_CASES.md",
P6-009,SHOW GRANTS,PASS,0,8.0.39,,"level=0, stage=CHECKED","columns=['Grants for archery@%'], rows=1",
P6-010,SELECT CONNECTION_ID(),PASS,0,8.0.39,,"level=0, stage=CHECKED","columns=['CONNECTION_ID()'], rows=1",
P6-011,普通SELECT 1,PASS,0,8.0.39,,protocol error 1235,"protocol_error=1235, message=(1235, 'only inception audit requests and goInception management commands are supported')","(1235, 'only inception audit requests and goInception management commands are supported')"
P6-012,Prepared Statement/COM_STMT_PREPARE,MANUAL,0,8.0.39,,manual verification,"Requires controlled fault injection, a second connection/process, Archery UI/API, observability endpoint, Docker, or capacity measurements; follow PHASE_1_7_CASES.md",
P6-013,提交审核请求,PASS,6,8.0.39,,"level=0, stage=CHECKED","max_level=0, stages=['CHECKED'], rows=1",
P6-014,inception show/get variables/levels,PASS,1,8.0.39,,"level=0, stage=CHECKED","columns=['Name', 'Value', 'Desc'], rows=24",
P6-015,inception set global/session变量及level,MANUAL,0,8.0.39,,manual verification,"Requires controlled fault injection, a second connection/process, Archery UI/API, observability endpoint, Docker, or capacity measurements; follow PHASE_1_7_CASES.md",
P6-016,inception processlist,MANUAL,0,8.0.39,,manual verification,"Requires controlled fault injection, a second connection/process, Archery UI/API, observability endpoint, Docker, or capacity measurements; follow PHASE_1_7_CASES.md",
P6-017,KILL不存在ID,PASS,0,8.0.39,,protocol error 1094,"protocol_error=1094, message=(1094, 'Unknown thread id: 4294967294')","(1094, 'Unknown thread id: 4294967294')"
P6-018,第二个进程抢占4000端口,MANUAL,0,8.0.39,,manual verification,"Requires controlled fault injection, a second connection/process, Archery UI/API, observability endpoint, Docker, or capacity measurements; follow PHASE_1_7_CASES.md",
P6-019,Archery审核页,MANUAL,0,8.0.39,,manual verification,"Requires controlled fault injection, a second connection/process, Archery UI/API, observability endpoint, Docker, or capacity measurements; follow PHASE_1_7_CASES.md",
P6-020,Archery执行及回滚查询,MANUAL,0,8.0.39,,manual verification,"Requires controlled fault injection, a second connection/process, Archery UI/API, observability endpoint, Docker, or capacity measurements; follow PHASE_1_7_CASES.md",
P7-001,启用观测端口，访问健康检查,MANUAL,0,8.0.39,,manual verification,"Requires controlled fault injection, a second connection/process, Archery UI/API, observability endpoint, Docker, or capacity measurements; follow PHASE_1_7_CASES.md",
P7-002,访问指标端点并执行一批请求,MANUAL,0,8.0.39,,manual verification,"Requires controlled fault injection, a second connection/process, Archery UI/API, observability endpoint, Docker, or capacity measurements; follow PHASE_1_7_CASES.md",
P7-003,log.format=json后执行成功/失败请求,MANUAL,0,8.0.39,,manual verification,"Requires controlled fault injection, a second connection/process, Archery UI/API, observability endpoint, Docker, or capacity measurements; follow PHASE_1_7_CASES.md",
P7-004,启动时提供未知配置、非法RuleID或非法level,MANUAL,0,8.0.39,,manual verification,"Requires controlled fault injection, a second connection/process, Archery UI/API, observability endpoint, Docker, or capacity measurements; follow PHASE_1_7_CASES.md",
P7-005,SIGTERM/正常停止,MANUAL,0,8.0.39,,manual verification,"Requires controlled fault injection, a second connection/process, Archery UI/API, observability endpoint, Docker, or capacity measurements; follow PHASE_1_7_CASES.md",
P7-006,Docker镜像启动并挂载配置,MANUAL,0,8.0.39,,manual verification,"Requires controlled fault injection, a second connection/process, Archery UI/API, observability endpoint, Docker, or capacity measurements; follow PHASE_1_7_CASES.md",
P7-007,100条批量审核,MANUAL,0,8.0.39,,manual verification,"Requires controlled fault injection, a second connection/process, Archery UI/API, observability endpoint, Docker, or capacity measurements; follow PHASE_1_7_CASES.md",
P7-008,1000条批量审核,MANUAL,0,8.0.39,,manual verification,"Requires controlled fault injection, a second connection/process, Archery UI/API, observability endpoint, Docker, or capacity measurements; follow PHASE_1_7_CASES.md",
P7-009,10000条或达到配置上限,MANUAL,0,8.0.39,,manual verification,"Requires controlled fault injection, a second connection/process, Archery UI/API, observability endpoint, Docker, or capacity measurements; follow PHASE_1_7_CASES.md",
P7-010,max_connections并发连接边界,MANUAL,0,8.0.39,,manual verification,"Requires controlled fault injection, a second connection/process, Archery UI/API, observability endpoint, Docker, or capacity measurements; follow PHASE_1_7_CASES.md",
P7-011,模拟目标MySQL慢响应,MANUAL,0,8.0.39,,manual verification,"Requires controlled fault injection, a second connection/process, Archery UI/API, observability endpoint, Docker, or capacity measurements; follow PHASE_1_7_CASES.md",
P7-012,新版本替换失败后回退旧二进制/配置,MANUAL,0,8.0.39,,manual verification,"Requires controlled fault injection, a second connection/process, Archery UI/API, observability endpoint, Docker, or capacity measurements; follow PHASE_1_7_CASES.md",
